13.03.2018                                                                                        Dynamic List Display                                                                                                1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
13.03.2018                                                                                          Lantek Details data                                                                                             1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Lantek Details data
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Order     |Total order quantity|BUn|Material   |Document            |Vers|Material Description                    |MRP controller|Basic Start Date|Basic finish date|Material   |Customer material number           |
| 1032934523|                  4 |EA |E007.A34156|5590016943          |2   |5590016943 PLATE t=50 S355N             |E52           |06.02.2018      |20.02.2018       |B001.A02717|                                   |
| 1032935208|                  2 |EA |E007.A28596|9106002335          |03  |9106002335 PLATE t=40 S355N             |E52           |08.02.2018      |16.02.2018       |B001.A04186|                                   |
| 1032935209|                  2 |EA |E007.A28598|9106002334          |03  |9106002334 PLATE t=40 S355N             |E52           |08.02.2018      |16.02.2018       |B001.A04186|                                   |
| 1032935221|                  2 |EA |E007.A28596|9106002335          |03  |9106002335 PLATE t=40 S355N             |E52           |08.02.2018      |23.02.2018       |B001.A04186|                                   |
| 1032935222|                  2 |EA |E007.A28598|9106002334          |03  |9106002334 PLATE t=40 S355N             |E52           |08.02.2018      |23.02.2018       |B001.A04186|                                   |
| 1032935286|                  8 |EA |E007.A34156|5590016943          |2   |5590016943 PLATE t=50 S355N             |E52           |08.02.2018      |21.02.2018       |B001.A02717|                                   |
| 1032935289|                  2 |EA |E007.A30434|9106011442          |02  |9106011442 Plate T=50 S355J2G3          |E52           |08.02.2018      |23.02.2018       |B001.A02717|                                   |
| 1032935326|                  2 |EA |E007.A34087|A61262.0200PA3      |02  |A61262.0200PA3 SIDE PLATE T=50 S355N    |E52           |08.02.2018      |28.02.2018       |B001.A02717|                                   |
| 1032935580|                  8 |EA |E007.A03415|100007.01           |08  |100007.01 T=100 S355N EAR REAR PART     |E52           |09.02.2018      |20.02.2018       |B001.A04086|                                   |
| 1032935584|                  3 |EA |E007.A11007|A02371.0100         |05  |A02371.0100 EAR S355N T=100             |E52           |09.02.2018      |22.02.2018       |B001.A04086|                                   |
| 1032935588|                  3 |EA |E007.A10950|A02371.0300         |04  |A02371.0300 EAR S355N T=100             |E52           |09.02.2018      |22.02.2018       |B001.A04086|                                   |
| 1032935711|                  2 |EA |E007.A27491|9106221349          |01  |9106221349 ATTACHMENT T=30 S355J2       |E52           |12.02.2018      |21.02.2018       |B001.A04185|                                   |
| 1032935893|                  2 |EA |E007.A08998|A49868.0200 PA      |02  |A49868.0200 PLATE REAR S355MC T=20      |E52           |06.02.2018      |15.02.2018       |B001.A02743|                                   |
| 1032935900|                  2 |EA |E007.A28607|9106002332PA        |01  |9106002332PA PLATE t=20 S355N           |E52           |21.02.2018      |22.02.2018       |B001.A02743|                                   |
| 1032935902|                  2 |EA |E007.A28607|9106002332PA        |01  |9106002332PA PLATE t=20 S355N           |E52           |21.02.2018      |22.02.2018       |B001.A02743|                                   |
| 1032935956|                  1 |EA |E007.A30432|9106011438          |04  |9106011438 T=20 S355J2G3                |E52           |11.02.2018      |15.02.2018       |B001.A02743|                                   |
| 1032935959|                  1 |EA |E007.A30432|9106011438          |04  |9106011438 T=20 S355J2G3                |E52           |12.02.2018      |23.02.2018       |B001.A02743|                                   |
| 1032936059|                  2 |EA |E007.A35435|5266956             |00  |5266956, t=12, S690QL, Pokrywa (U NAS)  |E52           |19.02.2018      |26.02.2018       |B001.A05930|                                   |
| 1032936076|                  1 |EA |E007.A40916|101453.01-3B_SMV13  |01  |101453.01-3b_SMV13 Plate 2230x265 T=25  |E52           |08.03.2018      |08.03.2018       |B001.A02677|                                   |
| 1032936385|                  8 |EA |E007.A34159|5590017061PA        |1   |5590017061PA PLATE t=50 S690QL-Atlas req|E52           |13.02.2018      |21.02.2018       |R001.A01793|                                   |
| 1032936387|                  4 |EA |E007.A34159|5590017061PA        |1   |5590017061PA PLATE t=50 S690QL-Atlas req|E52           |13.02.2018      |28.02.2018       |R001.A01793|                                   |
| 1032936428|                  8 |EA |E007.A30591|5241650PA           |00  |5241650 plate(trójkąt), t=12, S690QL    |E52           |17.02.2018      |21.02.2018       |B001.A05930|                                   |
| 1032936555|                  4 |EA |E007.A34153|5590016938PA        |1   |5590016938PA PLATE t=60 S355N           |E52           |13.02.2018      |28.02.2018       |B001.A04834|                                   |
| 1032936567|                  6 |EA |E007.A03416|100008.02_PA        |03  |100008.02 Plate T=50                    |E52           |21.02.2018      |22.02.2018       |B001.A02717|                                   |
| 1032936577|                  2 |EA |E007.A28638|9106002348          |02  |9106002348 PLATE t=50 S355N             |E52           |13.02.2018      |26.02.2018       |B001.A02717|                                   |
| 1032936578|                  2 |EA |E007.A28640|9106002349          |02  |9106002349 PLATE t=50 S355N             |E52           |13.02.2018      |26.02.2018       |B001.A02717|                                   |
| 1032936593|                  4 |EA |E007.A14810|9106012264          |02  |PLATE 9106012264                        |E52           |13.02.2018      |28.02.2018       |B001.A04185|                                   |
| 1032936636|                  4 |EA |E007.A03416|100008.02_PA        |03  |100008.02 Plate T=50                    |E52           |27.02.2018      |28.02.2018       |B001.A02717|                                   |
| 1032936644|                  2 |EA |E007.A34156|5590016943          |2   |5590016943 PLATE t=50 S355N             |E52           |13.02.2018      |28.02.2018       |B001.A02717|                                   |
| 1032936660|                  2 |EA |E007.A26966|603145.01PA         |1   |603145.01 T=100 Suspension Ear          |E52           |13.02.2018      |26.02.2018       |B001.A04086|                                   |
| 1032936661|                  2 |EA |E007.A34170|5590017233PA        |1   |5590017233PA PLATE t=25 S690QL-Atlas req|E52           |14.02.2018      |15.02.2018       |R001.A00284|                                   |
| 1032936662|                  2 |EA |E007.A34170|5590017233PA        |1   |5590017233PA PLATE t=25 S690QL-Atlas req|E52           |14.02.2018      |16.02.2018       |R001.A00284|                                   |
| 1032936673|                  1 |EA |E007.A34142|5590016921PA1       |3   |5590016921PA1 PLATE t=100 S355N         |E52           |13.02.2018      |22.02.2018       |B001.A04086|                                   |
| 1032936713|                  2 |EA |E007.A30452|9106012393          |02  |9106012393 PLATE t=80 S355N             |E52           |06.03.2018      |07.03.2018       |B001.A04110|                                   |
| 1032936762|                 12 |EA |E007.A34946|A48526.0500         |02  |A48526.0500  PLATE BRACKET S355N T=40   |E52           |13.02.2018      |21.02.2018       |B001.A04186|                                   |
